
1751092809959,1593,Sign In-76,200,,Thread Group 1-1,text,true,,4654,559,2,2,https://petstore.octoperf.com/actions/Account.action?signonForm=,1592,0,1315
1751092811566,254,Sign In-77,200,,Thread Group 1-1,text,true,,4175,963,2,2,https://petstore.octoperf.com/actions/Account.action,254,0,0
1751092809790,1847,Sign In,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,8829,1522,2,2,null,1846,184,1315
1751092811849,232,Select Pet-79,200,,Thread Group 1-1,text,true,,3928,630,2,2,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,232,0,0
1751092811822,232,Select Pet,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,3928,630,2,2,null,232,27,0
1751092812119,235,Select Pet type-80,200,,Thread Group 1-1,text,true,,4106,662,2,2,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,235,0,0
1751092812082,235,Select Pet type,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,4106,662,2,2,null,235,38,0
1751092811526,937,Sign In-76,200,,Thread Group 1-2,text,true,,4654,559,2,2,https://petstore.octoperf.com/actions/Account.action?signonForm=,936,0,701
1751092812416,232,Select sub type-81,200,,Thread Group 1-1,text,true,,3807,655,2,2,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-1,232,0,0
1751092812355,232,Select sub type,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,3807,655,2,2,null,232,62,0
1751092812464,235,Sign In-77,200,,Thread Group 1-2,text,true,,4177,963,2,2,https://petstore.octoperf.com/actions/Account.action,235,0,0
1751092811449,1172,Sign In,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,8831,1522,2,2,null,1171,79,701
1751092812673,233,Add pet to cart-83,200,,Thread Group 1-1,text,true,,4664,655,2,2,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-1,233,0,0
1751092812649,233,Add pet to cart,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,4664,655,2,2,null,233,25,0
1751092812809,245,Select Pet-79,200,,Thread Group 1-2,text,true,,3928,630,2,2,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,245,0,0
1751092812700,245,Select Pet,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,3928,630,2,2,null,245,109,0
1751092812984,232,Proceed to checkout-84,200,,Thread Group 1-1,text,true,,4222,644,3,3,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,232,0,0
1751092812907,232,Proceed to checkout,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,4222,644,3,3,null,232,78,0
1751092813124,225,Select Pet type-80,200,,Thread Group 1-2,text,true,,4106,662,3,3,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,225,0,0
1751092813055,225,Select Pet type,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,4106,662,3,3,null,225,70,0
1751092813275,232,Payment Address-85,200,,Thread Group 1-1,text,true,,4504,1287,3,3,https://petstore.octoperf.com/actions/Order.action,232,0,0
1751092813217,232,Payment Address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,4504,1287,3,3,null,232,59,0
1751092813420,233,Select sub type-81,200,,Thread Group 1-2,text,true,,3807,655,3,3,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-1,233,0,0
1751092813350,233,Select sub type,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,3807,655,3,3,null,233,71,0
1751092813690,249,Add pet to cart-83,200,,Thread Group 1-2,text,true,,4664,655,3,3,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-1,249,0,0
1751092813654,249,Add pet to cart,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,4664,655,3,3,null,249,37,0
1751092813148,880,Sign In-76,200,,Thread Group 1-3,text,true,,4652,559,3,3,https://petstore.octoperf.com/actions/Account.action?signonForm=,880,0,641
1751092813587,447,Payment Confirmation-86,500,,Thread Group 1-1,text,false,,15419,621,3,3,https://petstore.octoperf.com/actions/Order.action?newOrder=&confirmed=true,233,0,0
1751092813508,447,Payment Confirmation,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1,,false,,15419,621,3,3,null,233,80,0
1751092813969,238,Proceed to checkout-84,200,,Thread Group 1-2,text,true,,4220,644,3,3,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,238,0,0
1751092813940,238,Proceed to checkout,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,4220,644,3,3,null,238,29,0
1751092814029,242,Sign In-77,200,,Thread Group 1-3,text,true,,4173,963,3,3,https://petstore.octoperf.com/actions/Account.action,232,0,0
1751092813112,1122,Sign In,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,8825,1522,3,3,null,1112,37,641
1751092814317,680,Select Pet-79,200,,Thread Group 1-3,text,true,,3928,630,4,4,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,680,0,0
1751092814272,680,Select Pet,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,3928,630,4,4,null,680,45,0
1751092814324,853,Payment Address-85,200,,Thread Group 1-2,text,true,,4504,1287,4,4,https://petstore.octoperf.com/actions/Order.action,848,0,0
