timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751093063072,226,Sign Out-87-0,302,,Thread Group 1-2,,true,,230,632,5,5,https://petstore.octoperf.com/actions/Account.action?signoff=,226,0,0
1751093063298,231,Sign Out-87-1,200,,Thread Group 1-2,text,true,,5048,623,5,5,https://petstore.octoperf.com/actions/Catalog.action,231,0,0
1751093063083,455,Sign Out-87,200,,Thread Group 1-4,text,true,,5278,1255,5,5,https://petstore.octoperf.com/actions/Catalog.action,227,0,0
1751093063083,227,Sign Out-87-0,302,,Thread Group 1-4,,true,,230,632,5,5,https://petstore.octoperf.com/actions/Account.action?signoff=,227,0,0
1751093063310,228,Sign Out-87-1,200,,Thread Group 1-4,text,true,,5048,623,5,5,https://petstore.octoperf.com/actions/Catalog.action,227,0,0
1751093063399,225,Select sub type-81,200,,Thread Group 1-3,text,true,,3807,655,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-1,225,0,0
1751093063304,225,Select sub type,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,3807,655,5,5,null,225,95,0
1751093063415,236,Add pet to cart-83,200,,Thread Group 1-5,text,true,,4664,655,5,5,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-1,236,0,0
1751093063314,236,Add pet to cart,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,4664,655,5,5,null,236,101,0
1751093063530,223,Sign Out-88,200,,Thread Group 1-2,text,true,,4973,623,5,5,https://petstore.octoperf.com/actions/Catalog.action,223,0,0
1751093063030,680,Sign Out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,10251,1878,5,5,null,449,44,0
1751093060426,2831,Transaction Controller,,"Number of samples in transaction : 19, number of failing samples : 1",Thread Group 1-2,,false,,59173,8607,5,5,null,2593,497,0
1751093062877,879,Sign In-76,200,,Thread Group 1-6,text,true,,4652,559,4,4,https://petstore.octoperf.com/actions/Account.action?signonForm=,879,0,652
1751093063538,231,Sign Out-88,200,,Thread Group 1-4,text,true,,4973,623,4,4,https://petstore.octoperf.com/actions/Catalog.action,230,0,0
1751093063010,686,Sign Out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,10251,1878,4,4,null,457,73,0
1751093059428,3806,Transaction Controller,,"Number of samples in transaction : 19, number of failing samples : 1",Thread Group 1-4,,false,,59732,8554,4,4,null,3357,535,729
1751093063699,235,Add pet to cart-83,200,,Thread Group 1-3,text,true,,4664,655,4,4,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-1,235,0,0
1751093063624,235,Add pet to cart,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,4664,655,4,4,null,235,75,0
1751093063757,219,Sign In-77,200,,Thread Group 1-6,text,true,,4173,963,4,4,https://petstore.octoperf.com/actions/Account.action,219,0,0
1751093063747,230,Proceed to checkout-84,200,,Thread Group 1-5,text,true,,4222,644,4,4,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,229,0,0
1751093062761,1098,Sign In,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-6,,true,,8825,1522,4,4,null,1098,118,652
1751093063651,230,Proceed to checkout,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,4222,644,4,4,null,229,96,0
1751093063879,249,Sign In-76,200,,Thread Group 1-4,text,true,,4095,612,4,4,https://petstore.octoperf.com/actions/Account.action?signonForm=,249,0,0
1751093063964,213,Proceed to checkout-84,200,,Thread Group 1-3,text,true,,4222,644,4,4,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,213,0,0
1751093063934,213,Proceed to checkout,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,4222,644,4,4,null,213,30,0
1751093064018,219,Select Pet-79,200,,Thread Group 1-6,text,true,,3928,630,4,4,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,219,0,0
1751093063977,219,Select Pet,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,3928,630,4,4,null,219,41,0
1751093064074,236,Payment Address-85,200,,Thread Group 1-5,text,true,,4504,1287,4,4,https://petstore.octoperf.com/actions/Order.action,236,0,0
1751093063977,236,Payment Address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,4504,1287,4,4,null,236,97,0
1751093064129,301,Sign In-77,200,,Thread Group 1-4,text,true,,4175,963,4,4,https://petstore.octoperf.com/actions/Account.action,301,0,0
1751093063769,550,Sign In,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,8270,1575,4,4,null,550,111,0
1751093064235,221,Payment Address-85,200,,Thread Group 1-3,text,true,,4504,1287,4,4,https://petstore.octoperf.com/actions/Order.action,221,0,0
1751093064177,221,Payment Address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,4504,1287,4,4,null,221,59,0
1751093064323,265,Select Pet type-80,200,,Thread Group 1-6,text,true,,4106,662,4,4,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,265,0,0
